id,hazard,prior_report,relevant_precedent (y/n),notes
fixture-notam-78299073,KATL: Runway 10 closed until 15 Sep 1000Z,"The coordinator relayed the incorrect information to the local controllers responsible for the runways. The local controllers subsequently released two departures from runway 1 and both flights lost required separation with the first arriving airplane inbound from the northwest to land on runway 19. Probable cause: A hearback/readback error on the part of the tower traffic management coordinator, who did not understand the request being made by the approach control area supervisor and then communicated that misunderstanding to the local controllers. Contributing to the incident was the lack of",,
fixture-notam-28986238,KMIA: LOC 09 unserviceable until 15 Sep 1600Z (est),"The coordinator relayed the incorrect information to the local controllers responsible for the runways. The local controllers subsequently released two departures from runway 1 and both flights lost required separation with the first arriving airplane inbound from the northwest to land on runway 19. Probable cause: A hearback/readback error on the part of the tower traffic management coordinator, who did not understand the request being made by the approach control area supervisor and then communicated that misunderstanding to the local controllers. Contributing to the incident was the lack of",,
ntsb-case-83959678,KRQB: wildlife — Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Ability to respond/compensate; Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on equipment,"Contributing to the accident were the operator’s inadequate operational control procedures, which permitted the pilot to depart into conditions that were below the minimums specified by their operating procedures. Findings: Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Pilot; Environmental issues-Conditions/weather/phenomena-Ceiling/visibility/precip-Whiteout-Effect on personnel; Environmental issues-Conditions/weather/phenomena-Light condition-Flat light-Contributed to outcome; Organizational issues-Support/oversight/monitoring-Safety programs-Adherence to",,
ntsb-case-31671439,KMXO: wildlife — Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on equipment; Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Ability to respond/compensate,Probable cause: The pilot's failure to maintain helicopter control and terrain clearance while in a hover after performing an evasive maneuver to avoid wildlife. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Personnel issues-Psychological-Attention/monitoring-Monitoring environment-Pilot - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Altitude-Not attained/maintained - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained - C; Environmental issues-Physical envir,,
ntsb-case-16072460,KSZT: wildlife — Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Contributed to outcome - C; Landing-flare/touchdown Wildlife encounter (non-bird),Probable cause: The pilot’s high flare and failure to execute a go-around which resulted in a hard landing and runway excursion. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Landing flare-Incorrect use/operation; Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Pilot Sequence: Landing Loss of control on ground; Landing Abnormal runway contact; Landing-landing roll Runway excursion; Landing-landing roll Nose over/nose down,,
ntsb-case-06521280,KBAZ: wildlife — Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Ability to respond/compensate; Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on equipment,"Contributing to the accident were the operator’s inadequate operational control procedures, which permitted the pilot to depart into conditions that were below the minimums specified by their operating procedures. Findings: Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Pilot; Environmental issues-Conditions/weather/phenomena-Ceiling/visibility/precip-Whiteout-Effect on personnel; Environmental issues-Conditions/weather/phenomena-Light condition-Flat light-Contributed to outcome; Organizational issues-Support/oversight/monitoring-Safety programs-Adherence to",,
fixture-notam-81542518,KATL: Runway 10 closed until 15 Sep 1000Z,"Probable cause: The pilot’s failure to attain the proper approach path to the runway, resulting in landing short of the runway. Findings: Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Descent/approach/glide path-Not attained/maintained - C; Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C Sequence: Approach-VFR pattern final Collision with terr/obj (non-CFIT)",,
ntsb-case-08707405,KPAE: lighting — Environmental issues-Operating environment-Airport facilities/design-Obstruction markings/lighting-Contributed to outcome - F,"Probable cause: The pilot's misjudgment of speed and distance on final approach resulting in a touchdown near the departure end of the runway, a runway excursion, and collision with trees. Findings: Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Pilot - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Descent/approach/glide path-Not attained/maintained - C; Environmental issues-Conditions/weather/phenomena-Wind-Tailwind-Effect on operation; Environmental issues-Physical environment-Object/animal/substance-Tree(s)-Contributed to outcom",,
ntsb-case-90000058,WSAC: runway — Landing Runway incursion veh/AC/person,That may have contributed towards me missing the final DG manifest.Errors.- Failure to follow standard operating procedures. I did not get the final DG manifest before pushback as required by company procedures.- Failure to execute Crew Resource Management/Threat Error Management. I did not perform effective leadership and communications during the disruption to mitigate the potential for missing the DG manifest.- Poor task management. I tried to do everything to manage pre-departure issues. This trait was identified during LOE. Management.- Delegate. I need to better involve my other crew mem,,
ntsb-case-41006029,KPIE: wildlife — Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on equipment; Maneuvering Birdstrike,"The flight instructor and pilot receiving instruction reported that during a training flight, while performing maneuvers at 1,200 ft mean sea level, they observed a large bird to the right of the airplane. The pilot maneuvered to avoid the bird; however, the bird collided with the right wing, which resulted in substantial damage. Following the bird strike, the flight instructor assumed control of the airplane and landed uneventfully. Probable cause: An in-flight collision with a bird. Findings: Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on equipm",,
ntsb-case-29969150,KBOS: runway — Takeoff Runway incursion veh/AC/person,Probable cause: The pilot's failure to abort the takeoff resulting in a runway overrun and impact with terrain. Findings: Aircraft-Aircraft oper/perf/capability-Performance/control parameters-(general)-Incorrect use/operation - C; Personnel issues-Action/decision-Action-Incorrect action selection-Pilot - C Sequence: Takeoff Runway excursion; Takeoff Nose over/nose down,,
fixture-notam-08231537,"KBOS: Runway 15L/33R closed, permanent","Probable cause: The pilot’s unstabilized approach and failure to go around, which resulted in a runway overrun on a wet, grass runway. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Descent/approach/glide path-Incorrect use/operation - C; Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Pilot - C; Environmental issues-Physical environment-Runway/land/takeoff/taxi surface-Wet surface-Ability to respond/compensate Sequence: Landing Loss of control on ",,
ntsb-case-61202138,KCCB: runway — Landing-landing roll Runway incursion veh/AC/person; Taxi-from runway Runway incursion veh/AC/person,"Probable cause: The pilot’s misidentification of a taxiway as the intended runway, which resulted in a collision with a utility pole and trees. Findings: Personnel issues-Action/decision-Info processing/decision-Identification/recognition-Pilot Sequence: Landing Collision with terr/obj (non-CFIT); Landing Wrong surface or wrong airport",,
fixture-notam-75161026,KDTW: Taxiway Z closed (snow removal) until 15 Sep 1700Z,"Probable cause: The pilot's failure to maintain directional control of the airplane while taxiing on a snow covered runway, which resulted in a collision with a terrain. Findings: Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained - C; Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Environmental issues-Physical environment-Runway/land/takeoff/taxi surface-Snow/slush/ice covered-Effect on operation; Environmental issues-Physical environment-Object/animal/substance-Tree(s)-Contributed to outcome Seque",,
ntsb-case-19405093,KGOO: runway — Environmental issues-Operating environment-Airport facilities/design-Runway/landing area condition-Contributed to outcome - C,"Contributing to the accident were the inoperative lights, weather conditions below published approach minimums, and the slush contaminated runway. Findings: Environmental issues-Physical environment-Runway/land/takeoff/taxi surfa-Snow/slush/ice covered-Contributed to outcome - F; Environmental issues-Conditions/weather/phenomena-Ceiling/visibility/precip-Below approach minima-Decision related to condition - F; Environmental issues-Operating environment-Approach aid coverage/avail-Approach lighting-Effect on operation - F; Personnel issues-Action/decision-Action-Incorrect action selection-Fligh",,
ntsb-case-74723109,KTPA: wildlife — Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on equipment - C; Enroute-descent Birdstrike,"Given that the loss of control happened within about 20 seconds from the time the airplane deviated from its flight path (no longer under autopilot control) and that the pilot (who was experienced in actual instrument conditions) was not able to recover airplane control, the airplane likely sustained airframe damage from the airspeed exceedances during the descent that prevented the pilot or autopilot from maintaining control. A medical review revealed the pilot’s coronary artery disease was associated with some increased risk of an impairing or incapacitating cardiovascular event such as ches",,
fixture-notam-54272009,KPHX: Runway 08 closed until 15 Sep 1200Z,"The pilot reported that there were no preaccident mechanical malfunctions or failures with the airplane that would have precluded normal operation. According to Federal Aviation Administration NOTAM 03/058, the airport runways were closed at the time of the accident. Probable cause: The flight instructor’s failure to review the notices to airmen related to the airport, which resulted in his landing on a closed runway and the airplane striking runway closed markers. Findings: Personnel issues-Task performance-Planning/preparation-Flight planning/navigation-Instructor/check pilot - C; Personnel ",,
fixture-notam-97406656,KPHX: Runway 08 closed until 15 Sep 1200Z,"Probable cause: The pilot’s failure to maintain directional control during takeoff, which resulted in a runway excursion. Findings: Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained; Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot; Environmental issues-Conditions/weather/phenomena-Wind-Tailwind-Effect on operation; Environmental issues-Conditions/weather/phenomena-Wind-Gusts-Effect on operation Sequence: Takeoff Runway excursion",,
ntsb-case-85451214,KMTH: lighting — Aircraft-Aircraft systems-Lighting system-Exterior lighting-Malfunction,"Probable cause: The flight crew's excessive elevator input during a rapid descent under night lighting conditions, which resulted in the overstress and breakup of the airplane. Contributing to the accident was an initial loss of airplane control for reasons that could not be determined because postaccident examination revealed no mechanical anomalies that would have precluded normal operation. Findings: Personnel issues-Task performance-Use of equip/info-Use of equip/system-Flight crew; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Lateral/bank control-Not specified; En",,
ntsb-case-99720137,KSZT: wildlife — Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Contributed to outcome - C; Landing-flare/touchdown Wildlife encounter (non-bird),"Probable cause: The pilot's improper landing flare, which resulted in the airplane ballooning on touchdown, and his subsequent failure to maintain directional control during the attempted landing and subsequent go-around. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Airspeed-Not attained/maintained - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained - C; Aircraft-Aircraft oper/perf/capability-Performance/control pa",,
fixture-notam-17335668,KSAN: Runway 27 closed (work in progress) until 15 Sep 1100Z,"Probable cause: The pilot's delayed decision to go-around after failing to recognize that he was attempting to land with a tailwind, and his failure to retract the landing gear and wing flaps for the go-around, which resulted in a collision with trees and terrain near the departure end of the runway. Findings: Personnel issues-Action/decision-Action-Delayed action-Pilot - C; Environmental issues-Conditions/weather/phenomena-Wind-Tailwind-Effect on operation; Aircraft-Aircraft systems-Landing gear system-(general)-Incorrect use/operation - C; Aircraft-Aircraft systems-Flight control system-TE f",,
fixture-notam-42356394,KSLC: PAPI 34L unserviceable until 15 Sep 0800Z,"Probable cause: The pilot’s incorrect glide path and landing flare, which resulted in a collision with obstacles on final approach and a hard landing. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Landing flare-Incorrect use/operation; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Descent/approach/glide path-Incorrect use/operation; Environmental issues-Physical environment-Object/animal/substance-Pole-Effect on equipment Sequence: Landing-flare/touchdown Hard l",,
ntsb-case-79479956,KDYL: lighting — Environmental issues-Operating environment-Airport facilities/design-Taxiway lighting-Contributed to outcome,Contributing to the accident was the pilot’s failure to select the appropriate radio frequency to activate the runway lights. Findings: Personnel issues-Action/decision-Action-Incorrect action performance-Pilot - C; Personnel issues-Action/decision-Action-Lack of action-Pilot - C; Environmental issues-Physical environment-Object/animal/substance-Fence/fence post-Contributed to outcome; Environmental issues-Operating environment-Airport facilities/design-(general)-Awareness of condition - C; Personnel issues-Task performance-Use of equip/info-Use of equip/system-Pilot - F; Environmental issues-,,
fixture-notam-58087537,KLAX: Runway 25L closed (work in progress) until 15 Sep 1400Z,"The coordinator relayed the incorrect information to the local controllers responsible for the runways. The local controllers subsequently released two departures from runway 1 and both flights lost required separation with the first arriving airplane inbound from the northwest to land on runway 19. Probable cause: A hearback/readback error on the part of the tower traffic management coordinator, who did not understand the request being made by the approach control area supervisor and then communicated that misunderstanding to the local controllers. Contributing to the incident was the lack of",,
ntsb-case-49802712,KSGF: runway — Takeoff Runway incursion veh/AC/person,Contributing to the accident was a flooded runway. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot; Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Pilot; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained; Environmental issues-Physical environment-Runway/land/takeoff/taxi surface-Wet surface-Contributed to outcome Sequence: Takeoff Loss of control on ground,,
ntsb-case-86271187,KBDN: wildlife — Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on personnel,Probable cause: The pilot's failure to maintain helicopter control and terrain clearance while in a hover after performing an evasive maneuver to avoid wildlife. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Personnel issues-Psychological-Attention/monitoring-Monitoring environment-Pilot - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Altitude-Not attained/maintained - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained - C; Environmental issues-Physical envir,,
ntsb-case-35185758,KAFJ: wildlife — Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Decision related to condition - C; Initial climb Birdstrike,"Probable cause: The pilot's failure to maintain control of the airplane during initial climb in gusting wind conditions, which resulted in a collision with power lines and trees. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-(general)-Not attained/maintained; Environmental issues-Conditions/weather/phenomena-Wind-Gusts-Response/compensation Sequence: Initial climb Loss of control in flight",,
fixture-notam-94017501,KMCO: Runway 18R closed (work in progress) until 15 Sep 1300Z,"The coordinator relayed the incorrect information to the local controllers responsible for the runways. The local controllers subsequently released two departures from runway 1 and both flights lost required separation with the first arriving airplane inbound from the northwest to land on runway 19. Probable cause: A hearback/readback error on the part of the tower traffic management coordinator, who did not understand the request being made by the approach control area supervisor and then communicated that misunderstanding to the local controllers. Contributing to the incident was the lack of",,
fixture-notam-58087537,KLAX: Runway 25L closed (work in progress) until 15 Sep 1400Z,Contributing to the incident was the lack of standard coordination procedures between the tower and approach control for temporary runway changes and the accepted practice of operations supervisors being distracted by non-operational duties while responsible for tower operations and interfacility coordination. Findings: Personnel issues-Task performance-Communication (personnel)-Accuracy of communication-ATC personnel - C; Organizational issues-Support/oversight/monitoring-Oversight-Oversight of operation-ATC - F; Organizational issues-Management-Policy/procedure-Adequacy of policy/proc-ATC - ,,
fixture-notam-05010518,KLAS: Taxiway B closed until 15 Sep 1800Z (est),Contributing to the accident was the pilot's failure to avail himself of additional information that described the appropriate taxi routes on the airport. Findings: Environmental issues-Conditions/weather/phenomena-Light condition-Glare-Contributed to outcome; Personnel issues-Task performance-Use of equip/info-Use of available resources-Pilot; Personnel issues-Experience/knowledge-Knowledge-Knowledge of procedures-Pilot Sequence: Taxi-from runway Navigation error; Taxi-from runway Ground collision,,
ntsb-case-78857024,KLAR: lighting — Aircraft-Aircraft systems-Lighting system-Flight compartment lighting-Inoperative,Contributing to the accident was the inoperative caution light indicating low fuel level. Findings: Aircraft-Fluids/misc hardware-Fluids-Fuel-Fluid level; Personnel issues-Task performance-Planning/preparation-Fuel planning-Pilot Sequence: Enroute Loss of engine power (partial); Autorotation Collision with terr/obj (non-CFIT); Enroute-cruise Fuel exhaustion; Emergency descent Off-field or emergency landing,,
ntsb-case-93717032,EGCB: wildlife — Unknown Birdstrike,"Contributing to the accident was the pilot’s pitch-up reaction to birds that took flight during his approach for the precautionary landing, which resulted in an inadvertent stall. Findings: Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Airspeed-Not attained/maintained - C; Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on operation - F; Personnel issues-Action/decision-Action-Incorrect action performance-Pilot - F Sequence: Enroute Unknown or undet",,
fixture-notam-94017501,KMCO: Runway 18R closed (work in progress) until 15 Sep 1300Z,Contributing to the incident was the lack of standard coordination procedures between the tower and approach control for temporary runway changes and the accepted practice of operations supervisors being distracted by non-operational duties while responsible for tower operations and interfacility coordination. Findings: Personnel issues-Task performance-Communication (personnel)-Accuracy of communication-ATC personnel - C; Organizational issues-Support/oversight/monitoring-Oversight-Oversight of operation-ATC - F; Organizational issues-Management-Policy/procedure-Adequacy of policy/proc-ATC - ,,
fixture-notam-53338443,"KBOS: Runway 15L/33R closed, permanent","Probable cause: The pilot's improper approach to landing and his failure to perform a go-around, which resulted in a runway overrun. Findings: Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Pilot - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Descent/approach/glide path-Not attained/maintained - C; Environmental issues-Physical environment-Object/animal/substance-(general)-Contributed to outcome Sequence: Landing Landing area overshoot; Landing Collision with terr/obj (non-CFIT)",,
ntsb-case-16284672,KJFK: runway — Takeoff-rejected takeoff Runway incursion veh/AC/person,Contributing to the severity of the accident was the vehicle’s proximity to the active runway. Findings: Personnel issues-Task performance-Use of equip/info-Use of equip/system-Pilot; Environmental issues-Operating environment-Airport facilities/design-Ground support/equipment-Contributed to outcome Sequence: Takeoff-rejected takeoff Collision during takeoff/land; Takeoff-rejected takeoff Runway excursion; Takeoff Loss of control on ground,,
fixture-notam-94813029,KSAN: Runway 27 closed (work in progress) until 15 Sep 1100Z,"During the runway excursion, the airplane impacted trees, which resulted in substantial damage to the right wing and fuselage. Neither pilot reported any preimpact mechanical malfunctions or failures that would have precluded normal operation with the airplane. Probable cause: The student pilot’s loss of control during a go-around and the delayed remedial action initiated by the flight instructor, which resulted in a runway excursion and collision with trees. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Student/instructed pilot; Personnel issues-Action/decisio",,
ntsb-case-95009689,KABE: runway — Takeoff-rejected takeoff Runway incursion veh/AC/person; Landing-landing roll Runway incursion veh/AC/person,"Probable cause: The pilot’s encounter with a tailwind during takeoff roll, which resulted in an aborted takeoff, collision with a ditch and subsequent nose over. Findings: Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Pilot; Personnel issues-Task performance-Use of equip/info-Use of equip/system-Pilot; Environmental issues-Conditions/weather/phenomena-Wind-Tailwind-Contributed to outcome Sequence: Takeoff-rejected takeoff Collision with terr/obj (non-CFIT); Takeoff-rejected takeoff Runway excursion",,
fixture-notam-21717015,KDTW: Taxiway Z closed (snow removal) until 15 Sep 1700Z,The pilot stated that there were no preaccident mechanical anomalies that would have precluded normal operation. The operator wrote that the accident may have been prevented if he had waited for the taxiway to be cleared of snow. Probable cause: The pilot’s failure to maintain directional control of the airplane while taxiing on a snow-covered taxiway. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Environmental issues-Physical environment-Runway/land/takeoff/taxi surfa-Snow/slush/ice covered-Contributed to outcome Sequence: Taxi-to runway Loss of con,,
fixture-notam-51668908,KORD: Taxiway K closed between A and M until 15 Sep 2000Z,In addition to this error; we proceeded onto an active taxiway deeming what we thought was correct which obviously went wrong. The issue we faced was a high amount of confusion when we watched the aircraft in front of us which originally was off our left side turn left on taxiway B. We again had the opportunity to stop the aircraft and seek clarification; however we kept moving along a route we thought was more correct. An additional factor that should be noted was that ground control was very busy and it was difficult to attempt to contact ground.In an attempt to try to avoid this from happen,,
ntsb-case-61667517,KSFO: runway — Environmental issues-Operating environment-Airport facilities/design-Runway/landing area condition-Awareness of condition,"Contributing to the incident were (1) the flight crew's failure to tune the instrument landing system frequency for backup lateral guidance, expectation bias, fatigue due to circadian disruption and length of continued wakefulness, and breakdowns in crew resource management and (2) Air Canada's ineffective presentation of approach procedure and NOTAM information. Findings: Personnel issues-Action/decision-Info processing/decision-Identification/recognition-Flight crew; Environmental issues-Operating environment-Airport facilities/design-Runway/landing area condition-Awareness of condition; Per",,
ntsb-case-75265366,KSGR: wildlife — Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on equipment - C; Takeoff Birdstrike,"Contributing to the accident was the pilot's selection of a low cruising altitude, which reduced the available time to troubleshoot the loss of engine power and afforded fewer forced landing site options, and improper maintenance of the airplane, which allowed a portion of a shop towel into the fuel system. Findings: Aircraft-Aircraft systems-Fuel system-Fuel selector/shutoff valve-Damaged/degraded - C; Aircraft-Fluids/misc hardware-Fluids-Fuel-Fluid management - C; Aircraft-Aircraft systems-Fuel system-Fuel selector/shutoff valve-Incorrect use/operation - F; Personnel issues-Task performance-",,
fixture-notam-61430238,KDEN: PAPI 16L unserviceable until 15 Sep 0900Z,"Probable cause: The pilot’s improper glidepath during a night approach, which resulted in impact with terrain short of the runway. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Descent/approach/glide path-Incorrect use/operation - C; Environmental issues-Conditions/weather/phenomena-Light condition-Dark-Effect on operation Sequence: Landing Landing area undershoot; Landing Collision with terr/obj (non-CFIT); Landing Loss of control on ground",,
ntsb-case-17593878,WSAC: runway — Landing Runway incursion veh/AC/person,"Probable cause: The pilot's use of improper procedures during an aborted landing, resulting in a runway excursion and a collision with a canal. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Personnel issues-Action/decision-Action-Incorrect action performance-Pilot - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Configuration-Not attained/maintained - C; Environmental issues-Physical environment-Object/animal/substance-(general)-Contributed to outcome Sequence: Landing-aborted after touchdown Loss of control on ground; Landi",,
fixture-notam-69010595,KDTW: Taxiway Z closed (snow removal) until 15 Sep 1700Z,A factor contributing to the accident was an icy taxiway. Findings: Environmental issues-Physical environment-Object/animal/substance-Sign/marker-Not specified; Environmental issues-Physical environment-Runway/land/takeoff/taxi surface-Snow/slush/ice covered surface-Not specified; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Altitude-Not attained/maintained Sequence: Taxi-into takeoff position Airport occurrence; Taxi-into takeoff position Ground collision,,
